Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-06-01,Wisecrack,5.6,"why oh why did I do P2/3?",https://www.mountainproject.com/route/106143697/wisecrack,3,"New York > The Gunks > The Trapps > g. V3 - Middle Earth",2.2,-1,Lead,Onsight,Trad,,230,1600
2024-06-01,Arrow,5.8,megapitch!,https://www.mountainproject.com/route/105799105/arrow,2,"New York > The Gunks > The Trapps > h. The Arrow Wall - CCK",3.5,-1,Lead,,Trad,,200,2100
2024-06-01,Quiver,"5.9 PG13",,https://www.mountainproject.com/route/113080646/quiver,1,"New York > The Gunks > The Trapps > h. The Arrow Wall - CCK",1.9,-1,TR,,Trad,,210,2400
2024-06-01,"Cold Turkeys","5.8+ PG13",,https://www.mountainproject.com/route/106148512/cold-turkeys,1,"New York > The Gunks > The Trapps > h. The Arrow Wall - CCK",2.9,-1,Lead,Onsight,Trad,,180,2200
2024-05-26,"Moe Pup Sensation",5.8,,https://www.mountainproject.com/route/106743156/moe-pup-sensation,1,"New Hampshire > *Rumney > 5.8 Crag",2.0,-1,Follow,,Sport,,,2100
2024-05-26,"Sky Pilot",5.11b,"yoyo with jj",https://www.mountainproject.com/route/105878810/sky-pilot,1,"New Hampshire > *Rumney > 5.8 Crag",2.7,-1,Lead,Fell/Hung,Sport,,,4900
2024-05-26,Milktoast,5.10c/d,,https://www.mountainproject.com/route/106089724/milktoast,1,"New Hampshire > *Rumney > 5.8 Crag",2.2,-1,Lead,Pinkpoint,Sport,,,3400
2024-05-26,Milktoast,5.10c/d,,https://www.mountainproject.com/route/106089724/milktoast,1,"New Hampshire > *Rumney > 5.8 Crag",2.2,-1,Lead,Fell/Hung,Sport,,,3400
2024-05-26,"Easy Terms",5.8,,https://www.mountainproject.com/route/105923640/easy-terms,1,"New Hampshire > *Rumney > The Meadows > No Money Down (Left)",2.0,-1,Lead,Flash,Sport,,45,2100
2024-05-26,"Med Dose Madness","5.10b PG13",,https://www.mountainproject.com/route/106221466/med-dose-madness,1,"New Hampshire > *Rumney > The Meadows > Center Section",2.0,-1,Lead,Fell/Hung,Sport,,,2900
